term,estimate,std.error,statistic,df,p.value,variable,LCI,UCI,exposure
mvpa_recommended,0.03487924341281055,0.10436819938846732,0.3341941665869604,370.7968131178024,0.7384219805750578,fast.PC2,-0.1696824273885854,0.2394409142142065,Physical Activity
steps1000_mean,0.009503218344983176,0.015270287182383432,0.6223339634336783,46.383425505767555,0.5367698386393229,fast.PC3,-0.02042654453248835,0.0394329812224547,Physical Activity
mvpa_recommended,0.028017755466128346,0.1021139127432065,0.2743774546822693,117.71079766965401,0.7842755108518165,fast.PC3,-0.17212551351055638,0.22816102444281305,Physical Activity
steps1000_mean,0.023876319345364022,0.19703739438389015,0.12117658894151596,168.2587612029167,0.9036957556498728,adsbp,-0.3623169736470606,0.4100696123377887,Physical Activity
mvpa_recommended,-0.788372353043303,1.388595192556899,-0.5677481509867742,597.3305792357885,0.5704193192504656,adsbp,-3.510018930454825,1.933274224368219,Physical Activity
steps1000_mean,0.004414344451188202,0.12418029573059855,0.035547865506495885,90.19559654430843,0.9717214338400937,addbp,-0.23897903518078495,0.24780772408316137,Physical Activity
mvpa_recommended,-0.31491914616011507,0.8457962994494843,-0.37233450461428014,361.6739578744845,0.7098618873993354,addbp,-1.9726798930811043,1.342841600760874,Physical Activity
residual_distance,-0.0353542746026832,0.03330787134025576,-1.061439028676509,93.433569099565,0.29122639733460565,TC,-0.10063770242958449,0.02992915322421809,Aerobic Fitness
baseline,-0.15964536534015172,0.15652035156450453,-1.0199655427834848,96.7243179153324,0.31028920213067246,TC,-0.4664252544065806,0.14713452372627717,Aerobic Fitness
freq_peak,0.18446151360112653,0.08287901831090218,2.225672038116574,322.7361578322906,0.026726634516382353,TC,0.02201863771175827,0.3469043894904948,Aerobic Fitness
drop6to7,-0.46411826929105626,0.1662356620233026,-2.7919296235364772,106.70235987268028,0.006209982867044772,TC,-0.7899401668567294,-0.13829637172538317,Aerobic Fitness
residual_distance,-0.02945217797734205,0.0844602907193631,-0.3487103552035245,152.3357347861783,0.727788251857072,TG,-0.19499434778729374,0.1360899918326096,Aerobic Fitness
baseline,0.07104301679024831,0.4035060946105858,0.17606429677056118,131.4877347163063,0.8605143034968612,TG,-0.7198289286464998,0.8619149622269964,Aerobic Fitness
freq_peak,0.2514089198366316,0.25893687358411044,0.9709274556254595,58.83755821600008,0.33555902427880024,TG,-0.2561073523882248,0.758925192061488,Aerobic Fitness
drop6to7,-0.29627103901359353,0.4449246813790033,-0.6658903212456737,100.31065685396196,0.5070096306216654,TG,-1.16832341451644,0.575781336489253,Aerobic Fitness
residual_distance,6.142726914799576e-4,0.007322016622812076,0.08389392200588061,142.75883196900642,0.9332582996005454,HDLc,-0.013736879889231711,0.014965425272191626,Aerobic Fitness
baseline,-0.0013532193539032326,0.03355010713666435,-0.0403342781705875,207.78499405475887,0.9678653543874107,HDLc,-0.06711142934176535,0.0644049906339589,Aerobic Fitness
freq_peak,0.025459591634259413,0.020197207195791145,1.2605501041532556,136.66559503393387,0.20961889977323533,HDLc,-0.014126934469491231,0.06504611773801006,Aerobic Fitness
drop6to7,-0.01824156684450392,0.03997460131243509,-0.45632892500742533,71.63636398296407,0.6495339902881248,HDLc,-0.09659178541687669,0.060108651727868855,Aerobic Fitness
residual_distance,-0.00590733053333981,0.028674567943498423,-0.20601288727278694,137.1474865993158,0.837086344060761,LDLc,-0.062109483702596724,0.0502948226359171,Aerobic Fitness
baseline,-0.15506938236901757,0.13927274226337333,-1.1134223384197592,101.83383066259795,0.2681483305856349,LDLc,-0.4280439572052293,0.11790519246719416,Aerobic Fitness
freq_peak,0.1718621410357934,0.08012882607856624,2.144822898906353,114.582314454092,0.0340788245619732,LDLc,0.014809641921803562,0.3289146401497832,Aerobic Fitness
drop6to7,-0.22720967663807906,0.1472457038163395,-1.5430648959475186,117.94541906605592,0.12549388566186082,LDLc,-0.5158112561181045,0.061391902841946344,Aerobic Fitness
residual_distance,0.005719968738669735,0.021389220433154416,0.2674229645977879,165.99286679989706,0.7894754989931432,ApoA1,-0.036202903310312916,0.04764284078765239,Aerobic Fitness
baseline,0.059106227914884214,0.10187230385313283,0.5801991874071724,148.19515543651528,0.5626614393246965,ApoA1,-0.14056348763725612,0.25877594346702454,Aerobic Fitness
freq_peak,0.01754156567896109,0.05557288295643642,0.31564973321092454,398.2694185852928,0.7524337228678635,ApoA1,-0.0913812849156543,0.12646441627357646,Aerobic Fitness
drop6to7,0.013986606024353952,0.1113691674652118,0.12558777570751728,120.83913261800703,0.9002669446492342,ApoA1,-0.20429696220746119,0.23227017425616908,Aerobic Fitness
residual_distance,0.0026168264056170946,0.0252467078809467,0.10365020334361982,66.1152545923492,0.9177607170331108,ApoB,-0.04686672104103844,0.05210037385227263,Aerobic Fitness
baseline,-0.02841152268594051,0.11920650606876661,-0.23833869159415483,65.75035688760214,0.812359655542291,ApoB,-0.26205627458072306,0.20523322920884202,Aerobic Fitness
freq_peak,0.06771073120215074,0.06557522548199562,1.0325657396441807,104.08283482101443,0.30420049111478753,ApoB,-0.060816710742560676,0.19623817314686215,Aerobic Fitness
drop6to7,-0.321645806858929,0.11505297679959145,-2.795632201843831,180.34008374477781,0.0057410533022626,ApoB,-0.5471496413861283,-0.09614197233172977,Aerobic Fitness
residual_distance,-7.524459028875657e-4,0.0032852224356291673,-0.22903956052627578,40.06872081019387,0.8200032286798269,hsCRP,-0.007191481876720734,0.005686590070945602,Aerobic Fitness
baseline,0.04281026029894899,0.0158106386202226,2.7076869775641144,36.73567085212273,0.01022223162588487,hsCRP,0.011821408603312697,0.07379911199458529,Aerobic Fitness
freq_peak,0.0013125773861915478,0.007777737037429061,0.16876083363001193,107.28559597017559,0.8663025268340361,hsCRP,-0.013931787207169413,0.016556941979552507,Aerobic Fitness
drop6to7,-0.009274616126845653,0.014724594391571498,-0.6298724352064009,84.47796231672628,0.5304780203526875,hsCRP,-0.038134821134325786,0.019585588880634483,Aerobic Fitness
residual_distance,-0.020672321693531833,0.007228369147203148,-2.8598873788191232,186.30515744537246,0.004721510777123239,Insulin,-0.034839925222050004,-0.006504718165013662,Aerobic Fitness
baseline,0.10846797658752459,0.03448639460136239,3.1452396761486794,161.10763256619762,0.001976641825851999,Insulin,0.04087464316885432,0.17606131000619485,Aerobic Fitness
freq_peak,0.029936487101016682,0.023917744856178823,1.251643383647978,42.273421305960454,0.2175816585373027,Insulin,-0.01694229281709381,0.07681526701912718,Aerobic Fitness
drop6to7,-0.08346629253562292,0.03922044767747612,-2.128132070852335,88.9038120115964,0.03609326895479059,Insulin,-0.16033836998347611,-0.0065942150877697225,Aerobic Fitness
residual_distance,-0.02262596435937744,0.0204036144599006,-1.108919422283951,78.78826928061913,0.2708384112654383,Glucose,-0.06261704870078262,0.01736511998202774,Aerobic Fitness
baseline,0.2504986395105538,0.08806382825202373,2.844512264373395,199.18589200320872,0.004912392798202436,Glucose,0.07789353613658728,0.4231037428845203,Aerobic Fitness
freq_peak,0.09985426421607702,0.054910414753492634,1.818494081029058,93.63643749450496,0.07218561488351405,Glucose,-0.007770148700768545,0.20747867713292256,Aerobic Fitness
drop6to7,0.022270594864510752,0.10497942486655365,0.21214247356394256,69.86377829858648,0.8326135940789721,Glucose,-0.1834890778739344,0.2280302676029559,Aerobic Fitness
residual_distance,-4.974898738292689e-5,4.2620654157520476e-4,-0.11672506761407511,70.66423581027983,0.9074090359798441,NEFA,-8.851138088703282e-4,7.856158341044744e-4,Aerobic Fitness
baseline,0.007127615943311104,0.0020992582732724764,3.395302061713473,53.36432213337318,0.0013005909436467622,NEFA,0.0030130697276970504,0.011242162158925158,Aerobic Fitness
freq_peak,3.204597743016635e-4,0.0011384388915070937,0.28149053646386846,88.19861911501708,0.7789935574700002,NEFA,-0.00191088045305224,0.002551800001655567,Aerobic Fitness
drop6to7,0.0015365580958102692,0.002229023336946762,0.6893414126004588,56.94419382942915,0.4934079528091151,NEFA,-0.0028323276446053838,0.005905443836225922,Aerobic Fitness
residual_distance,-0.2701254359966966,0.2384784795136277,-1.1327036156369843,58.781547966067976,0.26193795845675805,IL10,-0.7375432558434069,0.1972923838500137,Aerobic Fitness
baseline,1.456531389650879,1.2546829572323812,1.1608760454224558,34.06933083966931,0.25376199475710304,IL10,-1.0026472065245884,3.9157099858263464,Aerobic Fitness
freq_peak,-0.16348859769028487,0.9001933589583356,-0.18161497867465576,19.061532097714828,0.8578022361676627,IL10,-1.9278675812486228,1.600890385868053,Aerobic Fitness
drop6to7,-0.611716166219395,1.5492012215758793,-0.3948590781494122,22.15459454738932,0.6967227446761199,IL10,-3.6481505605081184,2.4247182280693282,Aerobic Fitness
residual_distance,4.960171582904942,7.9208569428741935,0.6262165342308372,54.59420595749866,0.5337825421574665,Adiponectin,-10.564708025128478,20.48505119093836,Aerobic Fitness
baseline,-57.57698084618476,35.27968946620344,-1.6320149558385781,81.14476344299663,0.10655140999498203,Adiponectin,-126.7251721999435,11.571210507573987,Aerobic Fitness
freq_peak,-4.601671860572271,23.660130403253323,-0.19449055360825612,36.10688493265805,0.8468819801620375,Adiponectin,-50.97552745094879,41.77218372980424,Aerobic Fitness
drop6to7,-5.955893024299352,36.96092091166233,-0.16114027674078008,99.74817312547562,0.8723088396121921,Adiponectin,-78.39929801115751,66.4875119625588,Aerobic Fitness
residual_distance,-6.64053355884668,6.973841238552622,-0.9522060126830305,53.29823237992849,0.3452909734828318,Leptin,-20.30926238640982,7.02819526871646,Aerobic Fitness
baseline,15.475561179702868,30.814996059751337,0.5022087671111566,83.61752404288038,0.6168406475123556,Leptin,-44.92183109740975,75.8729534568155,Aerobic Fitness
freq_peak,27.715478779688148,17.990435363350823,1.5405674304107546,82.10976214853017,0.1272672955299703,Leptin,-7.545774532479463,62.97673209185576,Aerobic Fitness
drop6to7,12.405985951309534,30.444981275075712,0.4074887036132257,203.7274287380388,0.6840769462095935,Leptin,-47.26617734783886,72.07814925045793,Aerobic Fitness
residual_distance,0.646715974736176,1.7045308265355963,0.3794099611859794,28.926116820323593,0.7071546186435296,TNFsR,-2.6941644452735924,3.9875963947459447,Aerobic Fitness
baseline,-11.53853043189372,6.2772008169881515,-1.8381649350243339,124.82981581724773,0.06841548219003935,TNFsR,-23.841844033190497,0.7647831694030565,Aerobic Fitness
freq_peak,1.8410866620193898,3.85214715553979,0.47793778058860364,77.51683045602624,0.6340395519765365,TNFsR,-5.709121762838599,9.391295086877378,Aerobic Fitness
drop6to7,-8.97329584636696,8.341104611937375,-1.075792267792065,32.638028833333195,0.2899086088795635,TNFsR,-25.321860885764217,7.375269193030293,Aerobic Fitness
residual_distance,5.64585531329968,2.7623508267331953,2.0438588967993496,135.00318499685795,0.04291206021155336,Resistin,0.23164769290261678,11.060062933696742,Aerobic Fitness
